experiment,process_create,process_term,reg_create_key,reg_write,file_create,image_load,reg_delete_key,net_connect,reg_delete_value,year,label,test
E1122,0.0,0.0,0.0,0.0,20.0,52.0,0.0,0.0,0.0,2023.0,benign,False
E1123,1.0,2.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,2022.0,benign,False
E1124,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2017.0,malicious,True
E1125,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,2024.0,benign,True
E1126,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2017.0,malicious,False
E1127,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1128,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,True
E1129,1.0,0.0,0.0,0.0,6.0,38.0,0.0,0.0,0.0,2024.0,benign,True
E113,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1130,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2017.0,malicious,False
E1131,0.0,0.0,0.0,0.0,19.0,44.0,0.0,0.0,0.0,2023.0,benign,False
E1132,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2023.0,benign,False
E1133,0.0,0.0,8.0,8.0,479.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1134,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1135,0.0,1.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,2024.0,benign,False
E1136,0.0,1.0,1.0,0.0,44.0,52.0,0.0,0.0,0.0,2024.0,malicious,True
E1137,424.0,370.0,5.0,0.0,1997.0,8075.0,0.0,0.0,0.0,2017.0,malicious,False
E1138,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1139,3.0,2.0,0.0,3.0,64.0,167.0,0.0,3.0,0.0,2017.0,malicious,True
E114,1.0,1.0,0.0,0.0,73.0,59.0,0.0,0.0,0.0,2017.0,malicious,False
E1140,1.0,0.0,0.0,1.0,1368.0,130.0,0.0,0.0,0.0,2021.0,benign,False
E1141,1.0,2.0,0.0,0.0,7.0,39.0,0.0,0.0,0.0,2021.0,malicious,False
E1142,0.0,0.0,0.0,0.0,29.0,58.0,0.0,4.0,0.0,2017.0,malicious,True
E1143,1.0,1.0,1.0,4.0,48.0,97.0,0.0,0.0,0.0,2024.0,malicious,True
E1144,1.0,2.0,0.0,0.0,4.0,45.0,0.0,0.0,0.0,2024.0,benign,True
E1145,1.0,2.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,2024.0,malicious,True
E1146,1.0,0.0,0.0,0.0,37.0,78.0,0.0,0.0,0.0,2017.0,benign,False
E1147,1.0,2.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,2024.0,benign,True
E1148,4.0,5.0,245.0,36.0,144.0,257.0,2.0,2562.0,0.0,2017.0,malicious,True
E1149,1.0,1.0,0.0,0.0,48.0,97.0,0.0,0.0,0.0,2017.0,malicious,False
E115,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1150,0.0,1.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,2024.0,benign,True
E1151,1.0,1.0,0.0,0.0,69.0,59.0,0.0,0.0,0.0,2017.0,malicious,False
E1152,1.0,2.0,111.0,0.0,53.0,102.0,0.0,3.0,0.0,2017.0,malicious,False
E1153,0.0,0.0,2.0,0.0,640.0,46.0,0.0,24.0,0.0,2017.0,malicious,True
E1154,1.0,2.0,111.0,0.0,53.0,105.0,0.0,3.0,0.0,2017.0,malicious,True
E1155,0.0,0.0,8.0,8.0,471.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1156,1.0,2.0,0.0,0.0,7.0,39.0,0.0,0.0,0.0,2023.0,malicious,False
E1157,1.0,2.0,3.0,3.0,11.0,73.0,0.0,0.0,0.0,2023.0,benign,False
E1158,0.0,0.0,4.0,8.0,48.0,91.0,0.0,6.0,0.0,2022.0,malicious,False
E1159,0.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,0.0,2017.0,benign,False
E116,0.0,1.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,2017.0,malicious,True
E1160,0.0,1.0,2.0,0.0,5.0,32.0,0.0,0.0,0.0,2022.0,benign,False
E1161,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2017.0,malicious,False
E1162,0.0,1.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,2021.0,malicious,False
E1163,1.0,2.0,0.0,0.0,40.0,115.0,0.0,3.0,0.0,2024.0,benign,True
